Dataset_Name,Day | count,Day | mean,Day | std,Day | min,Day | max,Temperature（℃） | count,Temperature（℃） | mean,Temperature（℃） | std,Temperature（℃） | min,Temperature（℃） | max,MC(%) | count,MC(%) | mean,MC(%) | std,MC(%) | min,MC(%) | max,pH | count,pH | mean,pH | std,pH | min,pH | max,Ammonia(mg/kg) | count,Ammonia(mg/kg) | mean,Ammonia(mg/kg) | std,Ammonia(mg/kg) | min,Ammonia(mg/kg) | max,Nitrate(mg/kg) | count,Nitrate(mg/kg) | mean,Nitrate(mg/kg) | std,Nitrate(mg/kg) | min,Nitrate(mg/kg) | max,TN(%) | count,TN(%) | mean,TN(%) | std,TN(%) | min,TN(%) | max,TOC(%) | count,TOC(%) | mean,TOC(%) | std,TOC(%) | min,TOC(%) | max,EC(ms/cm) | count,EC(ms/cm) | mean,EC(ms/cm) | std,EC(ms/cm) | min,EC(ms/cm) | max
01,68.0,12.176470588235293,8.791008256354965,0.0,30.0,68.0,34.85794117647059,11.749588818315015,18.262,62.435,68.0,49.91188088235293,14.26041849970203,21.566,79.217,68.0,7.758086764705882,1.0424153681105044,4.2814,9.3195,68.0,1853.5200073529402,1641.881904071195,167.7,7401.2,68.0,505.2882794117641,345.8981619079912,189.28,2082.53629999999,68.0,1.8137927208964897,0.5515363597327892,0.712954790624694,3.01030052852899,68.0,31.50495316494117,10.092517810546967,12.25,49.858,68.0,3.303350000000001,0.9043482165989336,1.5192,5.1154
02,60.0,15.333333333333334,10.76193333186691,0.0,30.0,60.0,45.335,15.634575167812082,16.6,68.8,60.0,42.49316666666666,22.21767966737886,11.01,79.04,60.0,6.757333333333334,0.6303882760101693,5.38,7.88,60.0,638.5,382.59273828685053,95.0,1531.0,60.0,517.3566666666666,214.45738572915909,175.4,953.3,60.0,2.089183333333333,0.4300602831873006,1.228,3.06,60.0,34.94521666666667,6.067305581562255,22.5,47.84,60.0,5.963166666666667,1.617735906530122,3.13,11.14
03,48.0,11.5,6.946604864891638,1.0,22.0,48.0,37.24277083333333,14.113638295106215,18.326,60.128,48.0,48.870645833333334,10.01021282212509,33.672,63.359,48.0,7.7056708333333335,0.6210035594369275,6.8359,8.8516,48.0,1921.6145833333333,1254.9052123210188,440.2,5027.0,48.0,471.6050791666665,218.25015482110652,177.133,1069.5184,48.0,0.294250625,0.04721095682446941,0.16109,0.38242,48.0,6.378415994375,2.793965052633977,1.1263401,11.92651042,48.0,1.1783875000000001,0.23664715097790093,0.69237,1.42531
04,11.0,11.0,6.6332495807108,1.0,21.0,11.0,39.567727272727275,7.071486209997289,30.165,52.945,11.0,62.66336363636364,5.200972971910685,55.762,70.549,11.0,7.203009090909092,0.9759811252832153,5.1546,8.0851,11.0,9710.354545454546,3929.8599744427625,2299.7,13407.0,11.0,292.1181818181818,252.3277203883149,8.21,658.59,11.0,2.3842545454545454,0.1458697183354816,2.1771,2.6297,11.0,32.71627218934909,7.452235082682191e-15,32.7162721893491,32.7162721893491,11.0,3.1547727272727273,1.004579120916724,1.9537,4.9223
05,69.0,17.47826086956522,12.53889090654514,0.0,39.0,69.0,28.436884057971014,11.588303025713971,11.284,59.942,69.0,50.97415507246377,8.14560963220257,38.3095,66.4665,69.0,7.872283333333335,0.7421711974824601,6.2436,8.75965,69.0,727.3659420289855,355.2773921232238,351.43,1878.32,69.0,456.3435072463768,596.365671101376,40.304,2029.59,69.0,1.855678260869561,0.06272240164023868,1.70269999999999,1.99119999999999,69.0,34.3173774450724,5.6317330614589,27.0982583999999,48.2992272,69.0,2.3996365217391307,0.47937903231857604,1.60638,3.4508
06,10.0,39.7,39.420947618126974,1.0,120.0,10.0,33.9465,17.00144439125361,10.317,59.697,10.0,39.3326,12.287202133385234,24.601,62.574,10.0,7.341669999999999,0.40886325355931796,6.5217,7.7958,10.0,180.97,162.25380016094127,3.7,414.2,10.0,591.1270000000001,621.1726818606885,129.68,1730.4,10.0,0.7966491820606525,0.172081009965281,0.606299212598425,1.18636666666667,10.0,20.920799999999996,6.562037214158421,11.934,35.591,10.0,3.00333,0.5658342691204828,2.2,4.3
07,72.0,10.125,6.669116333972315,0.0,21.0,72.0,35.11347222222222,14.798132555359077,19.428,62.828,72.0,50.70259166666666,5.288646962078962,42.032,61.311,72.0,6.802703472222223,0.3487395808899861,6.01683,7.63003,72.0,401.91374999999994,157.08038763224766,167.77,752.13,72.0,20.208402777777778,7.711377481777886,12.054,40.873,72.0,1.7347963888888889,0.45526649358805144,0.96485,2.64715,72.0,35.14,7.721968318001918,22.236,55.611,72.0,1.1754255555555555,0.18230602999992868,0.79706,1.49139
08,18.0,12.5,8.786687791935092,0.0,25.0,18.0,19.15261111111111,3.91921728588591,9.515,25.275,18.0,60.02122222222223,3.512561216641439,50.273,65.064,18.0,7.507122222222222,1.450961031850171,5.2518,9.1681,18.0,3734.684638888887,2114.441491274595,816.2677,6871.8708,18.0,3605.071122222218,2047.8702548746628,357.980099999999,6048.23339999999,18.0,3.2725166666666667,0.48530469416282235,2.3436,4.0721,18.0,34.32858544888889,2.645060318021304,30.53144035,39.54930184,18.0,6.959194444444445,2.049601642923132,3.6635,10.8021
09,40.0,18.25,13.938969538487118,0.0,40.0,40.0,33.567674999999994,10.036426517971476,17.969,56.898,40.0,46.403475,4.642092432643401,37.601,59.428,40.0,7.575865,0.8281216507779392,5.7584,9.3715,40.0,907.0195000000001,211.34519678684865,440.58,1424.36,40.0,309.84632749999963,177.83040166666126,50.401,750.953199999999,40.0,1.2871275,0.23303066459104388,0.88666,1.72195,40.0,31.353675,5.7099226560278815,25.39,46.236,40.0,1.7147925000000002,0.42900189670700195,0.9598,2.6077
10,56.0,11.285714285714286,9.275018815397305,0.0,27.0,56.0,28.844642857142855,12.854640755814179,14.0,59.4,56.0,48.61025535714282,7.142393379913016,39.7129,61.8634999999999,56.0,7.419821428571429,0.3980474666598014,6.4,8.03,56.0,458.195512560504,352.2245084222418,54.0,1216.16505773235,56.0,16.306718296637648,39.17517371471154,0.0,194.145758661888,56.0,2.36875,0.4255864937193891,1.6,3.13,56.0,41.74660714285714,7.4913650356528905,35.74,58.83,56.0,1.6479821428571413,0.2504032914364205,1.102,2.15666666666667
